Date,Open,High,Low,Close,Volume
06/05/2024,"883.00","944.10","878.50","943.60","792,315"
06/04/2024,"884.90","887.10","872.80","872.90","328,135"
06/03/2024,"885.00","896.50","874.90","880.50","359,176"
05/31/2024,"884.00","901.90","870.00","870.80","1,325,837"
05/30/2024,"883.40","889.70","877.90","881.00","277,618"
05/29/2024,"903.10","905.60","882.10","888.50","469,059"
05/28/2024,"886.20","898.40","884.30","896.00","399,600"
05/27/2024,"882.30","884.00","874.90","882.60","168,545"
05/24/2024,"866.00","881.90","860.50","880.50","393,663"
05/23/2024,"868.20","892.20","868.00","876.40","574,762"
05/22/2024,"857.00","861.80","852.00","854.10","270,000"
05/21/2024,"864.30","864.30","843.30","853.70","327,438"
05/20/2024,"849.70","864.70","846.50","864.70","209,691"
05/17/2024,"846.10","856.70","842.50","853.00","492,332"
05/16/2024,"864.00","866.60","858.90","859.10","387,981"
05/15/2024,"847.50","852.70","840.20","851.00","386,501"
05/14/2024,"853.10","853.40","837.20","840.70","407,049"
05/13/2024,"869.60","870.20","846.80","853.00","327,567"
05/10/2024,"850.90","870.80","848.50","864.50","433,877"
05/09/2024,"846.10","852.50","843.80","847.90","331,311"
05/08/2024,"847.00","853.50","840.20","845.00","368,284"
05/07/2024,"851.30","859.70","843.60","854.20","417,265"
05/06/2024,"841.00","847.70","832.60","846.60","210,766"
05/03/2024,"817.00","836.80","815.80","835.90","434,464"
05/02/2024,"807.80","822.60","804.00","811.40","624,535"
04/30/2024,"850.90","852.30","832.60","832.70","510,511"
04/29/2024,"859.00","859.80","842.80","847.70","326,342"
04/26/2024,"845.00","862.50","841.80","858.80","498,526"
04/25/2024,"829.30","840.30","815.20","833.70","515,076"
04/24/2024,"860.00","860.00","833.10","834.80","477,145"
04/23/2024,"823.20","836.00","820.30","834.30","389,817"
04/22/2024,"821.00","825.60","810.00","813.20","526,653"
04/19/2024,"830.50","841.30","818.20","821.00","834,780"
04/18/2024,"870.00","871.50","832.20","840.30","762,238"
04/17/2024,"858.60","891.10","845.50","852.40","1,271,289"
04/16/2024,"898.60","914.30","891.00","913.40","527,766"
04/15/2024,"914.60","930.80","907.20","910.90","606,551"
04/12/2024,"925.00","934.40","899.80","907.50","509,980"
04/11/2024,"906.50","918.40","898.30","909.10","366,552"
04/10/2024,"913.40","918.40","888.10","913.30","437,885"
04/09/2024,"913.70","919.40","892.80","899.30","383,216"
04/08/2024,"899.10","918.00","899.00","913.70","307,245"
04/05/2024,"887.00","910.70","884.30","905.70","475,214"
04/04/2024,"908.00","916.70","898.10","901.30","413,590"
04/03/2024,"894.70","905.00","889.60","905.00","389,366"
04/02/2024,"917.80","918.90","890.40","890.70","590,869"
03/28/2024,"898.10","902.90","890.30","892.20","532,794"
03/27/2024,"900.50","905.60","891.10","895.20","381,771"
03/26/2024,"906.80","914.50","900.40","900.40","437,821"
03/25/2024,"905.90","915.60","901.20","913.00","358,516"
03/22/2024,"912.50","914.30","891.10","906.10","471,160"
03/21/2024,"911.00","923.80","906.50","923.30","657,108"
03/20/2024,"876.00","888.90","868.40","874.50","336,510"
03/19/2024,"865.00","870.70","855.10","869.60","362,603"
03/18/2024,"868.00","880.00","861.50","870.80","474,446"
03/15/2024,"880.20","882.70","857.70","857.70","2,713,321"
03/14/2024,"887.10","890.40","877.20","881.00","587,839"
03/13/2024,"902.20","905.50","878.20","878.90","534,861"
03/12/2024,"885.40","894.30","871.80","892.30","600,454"
03/11/2024,"900.00","911.40","880.00","884.50","713,102"
03/08/2024,"954.50","958.40","923.40","923.40","576,094"
03/07/2024,"915.00","949.60","908.60","949.20","602,723"
03/06/2024,"903.00","914.60","898.50","912.20","481,039"
03/05/2024,"911.00","916.60","894.00","899.50","480,872"
03/04/2024,"910.00","918.80","905.40","913.20","524,208"
03/01/2024,"881.00","894.40","873.40","894.00","456,792"
02/29/2024,"871.40","873.70","858.10","870.50","729,779"
02/28/2024,"871.00","877.00","863.40","869.40","357,552"
02/27/2024,"878.10","885.50","870.50","879.20","371,102"
02/26/2024,"860.10","872.90","858.60","869.80","286,040"
